iter	Passed	Remaining
0	1	133
1	2	119
2	3	113
3	4	108
4	5	105
5	6	104
6	7	102
7	8	100
8	9	98
9	10	97
10	12	100
11	13	98
12	14	96
13	15	94
14	16	93
15	17	90
16	18	88
17	19	87
18	20	86
19	21	85
20	22	84
21	23	83
22	24	81
23	25	80
24	26	79
25	27	79
26	28	77
27	29	76
28	30	75
29	31	74
30	32	73
31	33	72
32	35	71
33	36	69
34	37	68
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	50	56
47	52	56
48	53	55
49	54	54
50	55	53
51	56	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	81	28
74	82	27
75	84	26
76	86	25
77	87	24
78	87	23
79	88	22
80	89	21
81	91	20
82	92	18
83	93	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	9
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
